RunNumber,IdealDetector,DUT,Vbb
183163048230503163053,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
183121229230503121234,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
183121531230503121536,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
183123050230503123055,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
183215244230503215249,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
183220839230504034940,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,1.2
184100932230504100938,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
184104413230504104418,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
184105730230504105736,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
184110756230504110801,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
184112745230504112751,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
184141048230504141605,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,1.2
183220838230503220844,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B6.conf,AF20P_W22B6,0.0
184202457230504202511,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B10.conf,AF20P_W22B10,0.0
184222510230504222516,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B10.conf,AF20P_W22B10,0.0
184224041230504224047,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B10.conf,AF20P_W22B10,0.0
184224042230505002728,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B10.conf,AF20P_W22B10,1.2
184224043230505021904,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B10.conf,AF20P_W22B10,0.0
184224044230505044337,2023-05_PS-3REF-2APTSSF-3REF-B1-AF20P_W22B10.conf,AF20P_W22B10,1.2